Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Health Care,AQ,AQ,,79,300299,1028780,Merck & Co.,,B,2075661,TI Tr USP,1046881
Consumer Discretionary,AQ,AQ,,90,517583,2615684,Metro,,B,3374778,Fu Tr TSP Oth,759094
Information Technology,AQ,AQ,,81,389017,1144271,Microsoft,,B,1191654,TI Tr SE,47383
Industrials,AQ,AQ,,73,67100,1910459,Mitsubishi,,C,5116416,TI,3205957
Information Technology,AQ,AQ,,56,351000,842000,Mitsubishi Electric,,E,1200000,TSP,358000
Financials,AQ,AQ,,74,15875,236545,Mitsubishi UFJ Financial Group,,C,254862,Tr,18317
Financials,AQ,AQ,,85,8852.74,181449.01,Mizuho Financial Group,,C,198809.57,TI Tr,17360.56
Financials,AQ,AQ,,87,63103,344751,Morgan Stanley,,A,359073,Fu Tr,14322
Materials,AQ,AQ,,78,7800000,1589939,Mosaic Company,,B,4169555,PGS,2579616
Information Technology,AQ,IN,,60,125438,263440,Motorola3,,E,279233.85,Tr,15793.85
,AQ,AQ,,75,4739,378888,MTN Group,,D,1122962,Tr,744074
Financials,AQ,AQ,,79,28914,146967,Munich Re,,A-,216588,Wa Tr Oth,69621
Financials,AQ,AQ,,91,112276.2,186479,National Australia Bank,,A,208563,PGS Fu Wa Tr SE,22084
Utilities,AQ,AQ,,63,32370591,329352,National Grid,,D,9658188,PGS USP Oth,9328836
Financials,AQ,AQ,,61,7986,14962,NATIXIS,,E,15461,PGS Tr,499
Consumer Staples,AQ,AQ,,91,2643850,3143998,Nestle,,A-,7125398,TSP Oth,3981400
Materials,AQ,AQ,,59,15204,798368,Newcrest Mining,,E,2228979,Tr,1430611
Materials,AQ,AQ,,88,538893,1645915,Newmont Mining,,C,4694161,Fu,3048246
Consumer Discretionary,AQ,AQ,,93,40067,456473,News Corporation,,A-,538264,Tr,81791
Consumer Discretionary,AQ,AQ,,40,1405800,65000,NIKE,,-,71900,TI Tr SE,6900
Consumer Discretionary,AQ,AQ,,72,91586000,1894354,Nissan Motor,,C,2867158,TSP USP,972804
Information Technology,AQ,AQ,,84,8501500,286400,Nokia Group,,A-,306500,Tr EC USP SE,20100
Financials,AQ,AQ,,66,12068,86455,Nomura Holdings,,E,90105,Tr,3650
Financials,AQ,AQ,,87,20675,55970,Nordea Bank,,B,56206,Tr,236
