Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
Electricite de France (EDF) ,Utilities ,AQ ,AQ ,62,D ,,81246570,80575870,670700,685702,PGS TI Tr ,,,,
Eli Lilly ,Health Care ,AQ ,AQ ,61,C ,,1621619,454521,1167098,204478,TI Wa Tr EC Oth,,,,
EMC ,Information Technology ,AQ ,AQ ,88,B ,,346066,28031,318035,105029,Tr ,,,,
Emerson Electric ,Industrials ,AQ ,AQ ,24,-,,-,-,-,-,,,,,
Empresas Copec ,Energy ,NR ,NR ,-,-,,-,-,-,-,,,,,
Enbridge ,Energy ,AQ ,AQ ,61,C ,,4598000,1733000,2865000,203200,PGS Fu Tr,,,,
Encana ,Energy ,AQ ,AQ ,72,C ,,5841898,5242617,599281,2327,Tr ,,,,
Endesa ,Utilities ,AQ ,AQ ,88,A-,,39291885,38631310,660575,17184,Tr Oth ,,,,
ENEL ,Utilities ,AQ ,AQ ,89,A ,,116649738,116404742,244996,991855,PGS Fu Wa Oth ,,,,
Eni ,Energy ,AQ ,AQ ,83,B ,,62561965,60676123,1885842,268737319,PGS Tr USP ,,,,
EOG Resources ,Energy ,DP ,AQ ,-,-,,-,-,-,-,,,,,
Ericsson ,Information Technology ,AQ ,AQ ,82,B ,,204000,30000,174000,18443000,TI Tr EC USP ,,,,
Eurasian Natural Resources ,Materials ,DP ,DP ,-,-,,-,-,-,-,,,,,
Exelon ,Utilities ,AQ ,AQ ,79,C ,,9522374,9245696,276678,5033,Tr,,,,
Express Scripts ,Health Care ,NR ,NR ,-,-,,-,-,-,-,,,,,
Exxon Mobil ,Energy ,AQ ,AQ ,70,B ,,147000000,132000000,15000000,1600000,USP ,,,,
FANUC ,Industrials ,NR ,NR ,-,-,,-,-,-,-,,,,,
FedEx ,Industrials ,AQ ,AQ ,50,D ,,14149767,13152895,996872,1008493,PGS,,,,
Fiat ,Consumer Discretionary ,AQ ,AQ ,93,A ,,2062497,414875,1647622,2106700,PGS EC TSP USP ,,,,
