Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Kuwait,1972,6.75,2.93,2.14,3.62,
Kyrgyzstan,1972,,,,,
Laos,1972,,,,,
Latvia,1972,,,,,
Lebanon,1972,1.03,1.37,1.36,1.17,
Lesotho,1972,,,,,
Liberia,1972,,,,,
Libya,1972,2.79,0.88,1.29,0.44,
Lithuania,1972,,,,,
Luxembourg,1972,3.09,9.99,0.59,1.46,
"Macedonia, FYR",1972,1.707108935,1.608419494,0.968707126,0.299385944,
Madagascar,1972,,,,,
Malawi,1972,,,,,
Malaysia,1972,2.59,5.25,4.15,0.51,
Maldives,1972,,,,,
Mali,1972,,,,,
Malta,1972,0.53,0,0.21,0.08,
Mauritania,1972,,,,,
Mauritius,1972,,,,,
Mexico,1972,29.25,34.77,33.27,12.88,
Moldova,1972,,,,,
Mongolia,1972,,,,,
Montenegro,1972,,,,,
Morocco,1972,1.25,3.15,1.84,1.25,
Mozambique,1972,0.52,1.24,0.28,0.58,
Myanmar,1972,0.51,1.54,1.48,0.91,
Namibia,1972,,,,,
Nauru,1972,,,,,
Nepal,1972,0.03,0.06,0.06,0.11,
Netherlands,1972,45.33,35.13,18.06,46.97,
New Zealand,1972,2.31,5.08,5.57,2.78,
Nicaragua,1972,0.41,0.18,0.72,0.2,
Niger,1972,,,,,
Nigeria,1972,1.25,1.44,3.43,1.01,
Niue,1972,,,,,
Norway,1972,0.48,9.7,6.92,6.96,
Oman,1972,0.03,0.02,0.09,0.12,
Pakistan,1972,2.84,6.51,2.95,4.46,
Palau,1972,,,,,
Panama,1972,1.43,0.34,0.8,0.12,
Papua New Guinea,1972,,,,,
Paraguay,1972,0.08,0.09,0.41,0.04,
Peru,1972,2.63,4.3,5.58,3.03,
Philippines,1972,6.15,5.8,9.06,3.01,
Poland,1972,154.59,56.76,28.8,58.21,
Portugal,1972,2.99,4.79,4.26,2.61,
Qatar,1972,1.27,0.9,0.27,0.02,
Romania,1972,46.87,40.21,8.47,23.03,
Russian Federation,1972,,,,,
Rwanda,1972,,,,,
Saint Kitts & Nevis,1972,,,,,
Saint Lucia,1972,,,,,
Saint Vincent & Grenadines,1972,,,,,
Samoa,1972,,,,,
Sao Tome & Principe,1972,,,,,
Saudi Arabia,1972,7.61,2.27,3.91,0.66,
Senegal,1972,0.4,0.32,0.46,0.07,
Serbia,1972,11.20053768,8.891034718,3.406923316,3.071697462,
Seychelles,1972,,,,,
Sierra Leone,1972,,,,,
Singapore,1972,5,0.46,1.6,0.25,
Slovakia,1972,10.25,17.46,4.41,7.58,
Slovenia,1972,1.490802878,2.470418412,1.823270417,1.100698451,
Solomon Islands,1972,,,,,
South Africa,1972,69.68,47.24,28.45,17.07,
Spain,1972,32.49,48.96,26.88,17.46,
Sri Lanka,1972,0.33,0.62,1.68,0.84,
Sudan,1972,0.21,0.9,2.16,0.2,
Suriname,1972,,,,,
Swaziland,1972,,,,,
Sweden,1972,10.47,22.85,14.14,35.14,
Switzerland,1972,2.31,8.91,9.51,18.67,
Syria,1972,1.38,1.66,1.63,1.15,
Taiwan,1972,12.28,15.81,2.92,4.11,
Tajikistan,1972,,,,,
Tanzania,1972,0.34,0.33,0.84,0.21,
Thailand,1972,3.82,4.99,6.22,3.27,
Togo,1972,0.1,0,0.21,0.05,
Tonga,1972,,,,,
Trinidad & Tobago,1972,4.38,0.94,0.82,0.13,
Tunisia,1972,1.1,1.12,0.97,0.89,
Turkey,1972,10.89,11.28,12.15,14.3,
Turkmenistan,1972,,,,,
Uganda,1972,,,,,
Ukraine,1972,,,,,
United Arab Emirates,1972,0.34,1.69,0.54,0,
United Kingdom,1972,253.23,155.91,76.18,120.77,
United States of America,1972,1551.24,931.22,1148.75,900.77,
Uruguay,1972,1.48,1.45,1.82,0.91,
Uzbekistan,1972,,,,,
Vanuatu,1972,,,,,
Venezuela,1972,26.58,11.11,12.89,3.16,
Vietnam,1972,1.93,0.03,2.87,10.89,
Yemen,1972,0.36,0,0.91,0.17,
Zambia,1972,0.34,2.54,0.68,0.29,
Zimbabwe,1972,1.24,2.32,2.25,1.06,
World,1972,4764.79,3951.23,2486.64,3032.57,
European Union (15),1972,1017.42,869.4,405.52,787.32,
European Union (28),1972,1320.188446,1086.60027,470.8019612,959.3991279,
Afghanistan,1973,,,,,
Albania,1973,0.84,1.01,0.78,1.27,
Algeria,1973,3.68,2.28,2.95,2.49,
Angola,1973,0.27,0.4,1.43,0.14,
Antigua & Barbuda,1973,,,,,
Argentina,1973,30.69,15.94,26,14.89,
Armenia,1973,,,,,
Australia,1973,59.57,48.23,37.68,13.05,
Austria,1973,12.31,14.86,11.44,15.38,
Azerbaijan,1973,,,,,
Bahamas,1973,,,,,
Bahrain,1973,2.73,1.37,0.23,0.04,
Bangladesh,1973,1.16,1.8,0.23,0.73,
Barbados,1973,,,,,
Belarus,1973,,,,,
Belgium,1973,37.8,45.77,12.82,36.34,
Belize,1973,,,,,
